accession,Ler(2)/Col(3),PLANT,latritude grads,lat mins,long grads,long mins,#Leaves LD-V,days LD-V,#Leaves LD+V,days LD+V,#Leaves ShD-V,days ShD-V,Leaves ShD+V,Days ShD+V,FLC / Tubulin,FRI / Tubulin,days 0W+V,days 2W+V,days 4W+V,days 8W+V,JICleavesLD+V,JICftLD+V,JICleavesLD-V,JICftLD-V
Ang-0,1,38,50,30,5.3,30,15.8,33.8,14.3,22.8,76.2,86.5,37.5,51,1.106,1.494,37.6,24.8,22.2,16.4,14,25.3,13,29.4
N6034,1,39,48,35,2.1,10,200,200,40,46.3,200,125,149.2,158.4,7.705,2.084,125,125,90.7,39.6,,,Not flower,
Bu-0,3,40,50,51,9,50,13,28.2,16,26.2,60.3,92.7,43.16666667,56.5,0.146,1.714,33.1,23.8,22.1,22.8,13.8,29.3,11.5,29.1
Gd-1,3,41,53,19,10,56,10.5,29.3,11.2,23.8,49.8,77.7,38.16666667,56.83333333,0.127,1.152,26.6,19,19.3,18,12,,11.1,26.5
Hi-0,2,42,52,50,5,50,NA,NA,12,23,64.3,97.7,53.33333333,86.5,0.49,0.638,27.1,19.8,16.5,15.4,12.8,27.8,10.6,27.5
Hs-0,3,43,52,50,9,50,11.8,26,17,31,55.2,77.3,36,57.5,0.184,0.737,26.4,18,16,15.8,13.6,24.6,10.3,24.1
Is-0,2,44,50,50,7,50,18.8,29.8,18.8,25,77.2,81,46.4,46.8,0.328,0.449,34.1,25.8,21.6,20.9,19.6,29,16.8,30.1
Jm-0,2,45,49,44,15,18,12,26,14.8,25,57.7,100.2,35,58.33333333,0.136,0.33,27.9,20.2,18.4,18.2,13.8,24.7,9.3,
Ka-0,2,46,47,50,14,50,15,29.4,12.8,27,72.7,77.7,27.16666667,36.5,1.222,0.571,32.1,21,17.9,15.2,14.2,24.2,13.1,27.3
Rd-0,3,48,50,50,8,50,11.7,27.2,17.5,25,60,86.7,36,69,0.082,0.894,25.8,21.5,21.4,19.6,15.5,27.3,9.3,24.2
N6002,1,50,43,46,11.14,14,90.7,93,21.3,28.5,200,125,NA,NA,3.598,0.958,87.4,36.2,29.3,19.6,NA,NA,NA,NA
N6187,1,51,47,35,-122.2,20,17.5,34.3,13.3,25,77,83,21,33.66666667,0.362,0.76,43,28,21,18.4,15.6,25.6,16.1,29
Alc-0,1,52,40,29,-3.22,22,42.8,64.7,9.5,25.8,200,125,22.6,42.4,3.049,1.143,89,45.8,NA,18.3,12.4,29.3,ND,ND
Bla-1,1,54,41,30,3,0,48.6,55,13.7,22.3,51.8,106.5,22.6,37.4,NA,NA,NA,NA,NA,18.3,ND,ND,ND,ND
Blh-1,1,55,48,18,19,50,11,25,16.2,24.6,54.7,77.3,41.5,48.5,0.088,1.345,26.5,20.6,20,NA,15.7,26.4,11.1,24.1
Bs-1,2,57,47,50,8,50,17,33.8,17.5,24.5,71.5,92.7,35.6,47.66666667,0.482,NA,38.9,25.6,22.2,19.1,15.5,26.3,18.9,33.9
Can-0,1,60,28,0,-15,0,56.6,63.2,20,32.6,46.5,93,49,56.5,NA,NA,NA,55.8,NA,24.2,19.7,28.4,63.6,57.9
Cen-0,1,61,49,0,0,-50,16.4,34.5,16,29,74.5,105,72.6,81,0.899,0.704,41.3,32.8,NA,25.8,17.2,31.1,11.3,34.4
Co,1,62,40,0,-8,0,23.5,45,13.8,27.4,61.2,96.8,21,35,0.849,0.934,43.1,24.4,18.8,19,11.7,25.7,ND,ND
Ge-0,1,65,46,11,6.08,8,200,200,18.7,27,200,125,63.33333333,68.66666667,4.352,1.253,NA,67.3,58,NA,22.3,31.8,Not flower,
H55,3,66,49,44,15,18,15,33.2,14.4,24.6,64.2,114.3,37,47,0.469,0.563,37.2,26.6,22.7,20,13,26.4,12.9,28.6
In-0,1,67,47,50,8,0,41.7,30.5,14,22,70.5,116.8,37.16666667,57,1.516,1.009,NA,NA,NA,NA,15.3,25.1,24.9,36.2
Lc-0,1,71,57,50,-4,50,NA,NA,16,24,74,101.2,40,58.83333333,NA,NA,37.9,26,20.8,20.7,16.6,24.1,13.6,27.7
Lip-0,1,73,50,0,19.3,30,12.3,29.7,15.7,22.8,58.7,77,27,47,0.043,1.476,22.2,19,18,15.1,13.8,24.4,10.2,22.2
Lm-2,2,74,48,0,0,50,13,26.7,17.7,24.3,55.6,74,30.25,39,0.102,0.32,27,19.2,17.8,15.4,11.5,24.5,10.9,23.2
Lu-1,1,75,55,50,13,50,27,40.8,18.5,25.8,69.6,92.2,41.2,60.4,1.69,1.398,56.4,34.6,NA,22.1,16.2,29.3,27.2,41.8
Mir-0,1,77,44,2,12.37,37,72,82,15,28.5,96.8,111.3,28,36.25,NA,NA,75,35.6,NA,17.8,19,29,ND,ND
