,,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
8424,Kas-2,0.694267515924,0.0,327,471,0,4,0.948717948718,74,78
,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
4_270485_0,0.383419689119,0.0,74,193,0,63,0.380208333333,73,192
4_270525_0,0.331606217617,0.0,64,193,0,104,0.328125,63,192
4_270526_0,0.331606217617,0.0,64,193,0,104,0.328125,63,192
4_270527_0,0.331606217617,0.0,64,193,0,104,0.328125,63,192
4_270528_0,0.331606217617,0.0,64,193,0,104,0.328125,63,192
4_270555_0,0.336787564767,0.0,65,193,0,117,0.333333333333,64,192
4_270620_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270636_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270693_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270697_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270698_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270699_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270700_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270701_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270702_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270703_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270706_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270710_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270711_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270712_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270713_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270714_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270715_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270716_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270717_0,0.316062176166,0.0,61,193,0,129,0.3125,60,192
4_270718_0,0.321243523316,0.0,62,193,0,128,0.317708333333,61,192
4_270719_0,0.321243523316,0.0,62,193,0,128,0.317708333333,61,192
4_270720_0,0.321243523316,0.0,62,193,0,128,0.317708333333,61,192
4_270721_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270722_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270723_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270724_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270725_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270726_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270727_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270729_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270730_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270731_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270736_0,0.326424870466,0.0,63,193,0,127,0.322916666667,62,192
4_270736_1,0.326424870466,0.0,63,193,0,126,0.322916666667,62,192
4_270741_0,0.326424870466,0.0,63,193,0,126,0.322916666667,62,192
4_270742_0,0.326424870466,0.0,63,193,0,126,0.322916666667,62,192
4_270743_0,0.326424870466,0.0,63,193,0,126,0.322916666667,62,192
4_270744_0,0.326424870466,0.0,63,193,0,126,0.322916666667,62,192
4_270745_0,0.326424870466,0.0,63,193,0,126,0.322916666667,62,192
4_270746_0,0.326424870466,0.0,63,193,0,126,0.322916666667,62,192
4_270751_0,0.321243523316,0.0,62,193,0,128,0.317708333333,61,192
4_270752_0,0.321243523316,0.0,62,193,0,128,0.317708333333,61,192
4_270753_0,0.321243523316,0.0,62,193,0,128,0.317708333333,61,192
4_270758_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270759_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270760_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270761_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270764_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270765_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270769_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270770_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270771_0,0.326424870466,0.0,63,193,0,128,0.322916666667,62,192
4_270772_0,0.326424870466,0.0,63,193,0,128,0.322916666667,62,192
4_270773_0,0.326424870466,0.0,63,193,0,128,0.322916666667,62,192
4_270774_0,0.326424870466,0.0,63,193,0,128,0.322916666667,62,192
4_270775_0,0.326424870466,0.0,63,193,0,128,0.322916666667,62,192
4_270776_0,0.326424870466,0.0,63,193,0,128,0.322916666667,62,192
4_270777_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270778_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270779_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270780_0,0.321243523316,0.0,62,193,0,129,0.317708333333,61,192
4_270782_0,0.316062176166,0.0,61,193,0,130,0.3125,60,192
4_270783_0,0.310880829016,0.0,60,193,0,131,0.307291666667,59,192
4_270785_0,0.310880829016,0.0,60,193,0,131,0.307291666667,59,192
4_270789_0,0.310880829016,0.0,60,193,0,131,0.307291666667,59,192
4_270790_0,0.310880829016,0.0,60,193,0,131,0.307291666667,59,192
4_270791_1,0.310880829016,0.0,60,193,0,131,0.307291666667,59,192
4_270814_0,0.284974093264,0.0147058823529,55,193,2,136,0.28125,54,192
4_270862_0,0.264248704663,0.00714285714286,51,193,1,140,0.260416666667,50,192
4_270887_0,0.259067357513,0.0,50,193,0,141,0.255208333333,49,192
4_270898_0,0.259067357513,0.0,50,193,0,140,0.255208333333,49,192
4_270944_0,0.145077720207,0.0,28,193,0,152,0.140625,27,192
